defect_type,defect_size_mm,machine_id,machine_age_years,days_since_maintenance,shift,operator_experience_years,production_speed_mpm,thread_tension_n,humidity_pct,temperature_c,fabric_batch_quality_score,root_cause
thread_error,1.5,M07,12.0,4,night,3.6,27.7,11.69,30.9,22.5,80.9,material_issue
cut,33.7,M05,9.5,18,morning,0.1,15.5,13.51,52.0,23.5,52.9,human_error
color_defect,2.6,M07,0.7,57,afternoon,1.9,41.2,9.25,68.6,25.1,69.2,human_error
thread_error,15.9,M06,1.0,36,afternoon,2.0,36.4,12.81,64.0,18.5,83.5,human_error
thread_error,2.0,M12,8.4,3,night,0.3,39.7,14.22,65.7,26.3,71.9,human_error
cut,12.8,M07,5.0,7,afternoon,4.1,34.4,14.51,59.3,22.1,80.4,material_issue
thread_error,1.6,M12,2.1,0,afternoon,1.5,42.2,12.05,48.6,19.5,63.2,human_error
objects,9.3,M09,2.0,12,morning,2.2,32.2,13.88,51.1,21.4,71.1,machine_fault
hole,10.5,M05,10.5,6,morning,0.7,37.4,8.35,47.0,23.6,62.3,human_error
stain,12.5,M02,7.8,1,morning,9.6,30.4,10.95,59.1,24.0,86.5,material_issue
hole,14.3,M06,6.3,33,night,0.7,50.5,12.2,50.0,26.6,85.8,human_error
objects,1.8,M07,14.1,2,morning,0.5,41.5,8.92,57.7,27.9,50.9,human_error
oil_spot,5.8,M03,12.9,10,night,7.6,41.8,16.47,61.8,23.5,72.9,material_issue
stain,6.6,M08,12.8,21,afternoon,0.4,24.0,10.07,65.5,23.3,93.1,human_error
oil_spot,7.4,M03,8.8,29,morning,20.8,20.7,11.39,58.9,25.5,73.1,material_issue
hole,3.8,M05,3.3,6,afternoon,1.9,43.8,11.16,62.6,20.8,55.4,human_error
oil_spot,13.7,M07,4.8,33,night,8.1,35.2,14.18,72.2,24.0,95.0,material_issue
color_defect,3.5,M07,10.2,7,morning,16.0,36.2,12.35,59.3,18.4,89.5,material_issue
hole,1.7,M04,6.5,24,morning,0.6,34.1,10.78,74.1,22.7,64.0,material_issue
color_defect,1.4,M01,6.9,5,morning,0.8,36.5,13.44,80.6,24.7,99.8,material_issue
thread_error,5.1,M12,1.2,0,night,4.9,27.6,11.85,16.1,20.9,71.2,material_issue
stain,9.2,M10,9.6,13,night,4.3,33.4,12.15,62.8,24.4,46.5,material_issue
stain,2.0,M01,14.4,47,morning,0.3,37.2,10.44,52.5,22.5,66.2,machine_fault
color_defect,12.2,M09,12.2,6,morning,5.6,20.7,8.95,47.0,27.5,98.3,material_issue
oil_spot,3.8,M03,6.1,0,night,0.4,37.6,11.67,56.2,25.8,62.7,human_error
thread_error,3.0,M09,2.1,53,night,22.0,49.5,13.01,56.1,24.2,71.1,machine_fault
objects,4.8,M05,3.9,17,night,8.5,37.3,11.53,34.1,27.2,72.5,machine_fault
stain,6.2,M03,4.2,10,afternoon,5.4,40.2,13.34,65.1,27.4,66.9,material_issue
stain,20.7,M12,14.7,16,morning,0.2,41.7,9.33,46.6,21.1,96.6,human_error
objects,8.4,M12,9.9,9,morning,1.2,24.4,10.07,49.1,23.9,65.3,human_error
hole,34.8,M02,6.5,17,night,0.3,36.1,14.59,51.3,20.5,73.4,human_error
hole,12.3,M11,8.8,1,morning,0.6,37.7,16.78,58.8,24.6,98.9,machine_fault
cut,28.5,M03,4.5,4,night,5.7,35.0,10.93,70.3,23.7,89.1,human_error
color_defect,7.3,M05,9.8,32,night,3.8,35.4,12.6,64.9,30.2,78.8,human_error
objects,7.2,M03,10.6,31,afternoon,7.4,36.0,10.8,41.2,22.2,47.7,machine_fault
stain,4.4,M08,3.1,23,afternoon,8.3,38.7,12.04,38.6,25.5,67.5,material_issue
cut,1.0,M10,13.5,2,morning,1.6,34.7,9.75,56.5,29.9,69.3,human_error
cut,1.9,M06,3.9,28,afternoon,5.1,38.2,10.04,60.7,26.0,57.5,human_error
thread_error,7.5,M07,1.8,15,morning,1.7,17.6,11.02,51.4,30.5,98.4,human_error
color_defect,1.0,M06,13.5,18,morning,2.8,39.0,11.51,52.5,17.2,87.0,human_error
stain,1.7,M09,10.9,15,afternoon,7.3,27.7,13.6,57.6,29.1,89.8,material_issue
stain,16.2,M01,5.9,12,afternoon,3.2,40.0,9.47,83.7,22.2,71.8,material_issue
thread_error,9.0,M09,3.5,9,night,5.1,39.3,13.74,61.2,25.4,66.4,human_error
color_defect,1.6,M08,7.1,25,night,3.9,16.4,15.78,32.7,27.0,85.3,human_error
thread_error,2.8,M07,11.1,23,morning,8.4,48.6,11.92,64.9,27.0,67.5,machine_fault
color_defect,11.1,M06,8.3,9,afternoon,3.7,60.4,12.46,24.1,22.8,95.0,human_error
oil_spot,4.8,M06,3.8,11,morning,3.8,32.8,10.9,62.7,28.7,93.1,material_issue
objects,5.3,M09,5.3,7,morning,3.7,46.2,10.27,62.4,22.1,61.3,machine_fault
color_defect,30.7,M11,1.0,48,morning,3.4,43.3,10.25,44.1,21.8,76.2,material_issue
oil_spot,7.7,M08,7.8,18,morning,5.5,36.6,11.64,48.1,22.4,74.5,material_issue
